"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3","3","1uF","","","","","~"
"C4,C5,C6,C13,C14,C15,C16,C17,C18","9","0.1uF","","","","","~"
"C7,C8,C9","3","10uF","","","","","~"
"C10,C11,C12","3","1000uF","","","","","~"
"C19,C20,C21","3","10nF","","","","","~"
"C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33","12","1nF","","","","","~"
"D1,D2,D3","3","1N5819","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"D4,D5,D6","3","3.3V","","","","","~"
"J1","1","Screw_Terminal_01x02","","","","","~"
"J2","1","Screw_Terminal_01x03","","","","","~"
"J3","1","Screw_Terminal_01x04","","","","","~"
"MP1584","1","~","","","","",""
"Q1","1","IRFZ44N","","","","irfz44n:TO254P1016X419X2286-3",""
"Q2,Q3,Q4,Q5,Q6","5","IRFZ44N","","","","IRFZ44N:TO254P1016X419X2286-3",""
"R1,R2,R3,R4,R5,R6","6","330","","","","","~"
"R7,R8,R9,R10,R11,R12,R31,R33,R35","9","1k","","","","","~"
"R13,R14,R15,R16,R17,R18","6","22","","","","","~"
"R19,R20,R21","3","R002","","","","","~"
"R22,R23,R24,R37,R38,R39","6","100","","","","","~"
"R25,R26,R27,R28,R29,R30","6","10","","","","","~"
"R32,R34,R36,R40,TH1","5","10k","","","","","~"
"STM32G1","1","~","","","","STM32-sheilds:STM32_G431",""
"U1,U2,U3","3","AD8418","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/AD8418.pdf"
"U4,U5,U6,U7,U10,U11","6","6N137","","","","Package_DIP:DIP-8_W7.62mm","https://docs.broadcom.com/docs/AV02-0940EN"
"U8","1","IR2101","","","","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","https://www.infineon.com/dgdl/ir2101.pdf?fileId=5546d462533600a4015355c7a755166c"
"U9,U12","2","IR2101","","","","","https://www.infineon.com/dgdl/ir2101.pdf?fileId=5546d462533600a4015355c7a755166c"
